Title,Category,Date,URL
Cricket,Sports,,https://www.thedailystar.net/sports/cricket
Football,Sports,,https://www.thedailystar.net/sports/football
Tennis,More Sports,,https://www.thedailystar.net/sports/more-sports/tennis
More Sports,Sports,,https://www.thedailystar.net/sports/more-sports
Arsenal agree to sign Villa defender Konsa,Football,,https://www.thedailystar.net/sports/football/news/arsenal-agree-sign-villa-defender-konsa-4251801
Senior FIFA official withdraws support from embattled Infantino,Football,,https://www.thedailystar.net/sports/football/news/senior-fifa-official-withdraws-support-embattled-infantino-4251756
Playing at Real Madrid 'not for everyone': Bernardo Silva,Football,,https://www.thedailystar.net/sports/football/news/playing-real-madrid-not-everyone-bernardo-silva-4251741
Villa bolster squad with arrivals of Suzuki and Ruggeri,Football,,https://www.thedailystar.net/sports/football/news/villa-bolster-squad-arrivals-suzuki-and-ruggeri-4251606
Kyrgios admits 'huge mistake' after failing test for cocaine,Tennis,,https://www.thedailystar.net/sports/more-sports/tennis/news/kyrgios-admits-huge-mistake-after-failing-test-cocaine-4251571
Renshaw call-up signals Australia’s desperation,Cricket,,https://www.thedailystar.net/sports/cricket/news/renshaw-call-signals-australias-desperation-4250926
"ICC rankings / Hasan up 26 places, Shanto into top 20 after Bangladesh’s sensational Darwin Test win",Cricket,,https://www.thedailystar.net/sports/cricket/news/hasan-26-places-shanto-top-20-after-bangladeshs-sensational-test-win-4251496
"Free of FIFA ban, Abahani into a rough rebuild",Football,,https://www.thedailystar.net/sports/football/news/free-fifa-ban-abahani-rough-rebuild-4250936
Suthar shines as India crush Sri Lanka in 600th Test,Cricket,,https://www.thedailystar.net/sports/cricket/news/suthar-shines-india-crush-sri-lanka-600th-test-4251486
"Australia will go all in to ‘demolish’ Bangladesh in Mackay, warns Donald",Cricket,,https://www.thedailystar.net/sports/cricket/news/australia-will-go-all-demolish-bangladesh-mackay-warns-donald-4251471
Hockey league to return with first division,More Sports,,https://www.thedailystar.net/sports/more-sports/news/hockey-league-return-first-division-4251346
‘We were comparing it to Argentina’s World Cup games’: Simmons on Bangladesh’s Australia Test triumph,Cricket,,https://www.thedailystar.net/sports/cricket/news/we-were-comparing-it-argentinas-world-cup-games-simmons-bangladeshs-australia-test-triumph-4251456
"Senegal name former France, Arsenal midfield general Vieira as coach",Football,,https://www.thedailystar.net/sports/football/news/senegal-name-former-france-arsenal-midfield-general-vieira-coach-4251431
'I'm always ready': Shoriful eyes Mackay return for series win,Cricket,,https://www.thedailystar.net/sports/cricket/news/im-always-ready-shoriful-eyes-mackay-return-series-win-4251411
Naim points to 'strong pipeline' as Bangladesh A team depart for South Africa,Cricket,,https://www.thedailystar.net/sports/cricket/news/naim-points-strong-pipeline-team-depart-south-africa-4251071
Indian umpire in ICU after ball hits him in the face,Cricket,,https://www.thedailystar.net/sports/cricket/news/indian-umpire-icu-after-ball-hits-him-the-face-4250916
Root adamant England don't need 'huge change' to Bazball style,Cricket,,https://www.thedailystar.net/sports/cricket/news/root-adamant-england-dont-need-huge-change-bazball-style-4250901
'Should have been us’: Tigers’ historic win reopens England’s Ashes wounds,Cricket,,https://www.thedailystar.net/sports/cricket/news/should-have-been-us-tigers-historic-win-reopens-englands-ashes-wounds-4250871
India close in on victory in first Test against Sri Lanka,Cricket,,https://www.thedailystar.net/sports/cricket/news/india-close-victory-first-test-against-sri-lanka-4250846
Pakistan captain Babar Azam out of first Test against England,Cricket,,https://www.thedailystar.net/sports/cricket/news/pakistan-captain-babar-azam-out-first-test-against-england-4250796
Rishabh Pant fastest to 100 Test sixes,Cricket,,https://www.thedailystar.net/sports/cricket/news/rishabh-pant-fastest-100-test-sixes-4250681
"David Warner convicted, fined for drink-driving",Cricket,,https://www.thedailystar.net/sports/cricket/news/david-warner-convicted-fined-drink-driving-4250571
"Weatherald axed, Renshaw recalled after Bangladesh rout forces Australia change",Cricket,,https://www.thedailystar.net/sports/cricket/news/weatherald-axed-renshaw-recalled-after-bangladesh-rout-forces-australia-change-4250461
"Sell-out opening day, Darwin shock set stage for Mackay’s first-ever Test",Cricket,,https://www.thedailystar.net/sports/cricket/news/sell-out-opening-day-darwin-shock-set-stage-mackays-first-ever-test-4250451
Musiala diagnosed with neurological disorder,Football,,https://www.thedailystar.net/sports/football/news/musiala-diagnosed-neurological-disorder-4251381
"Messi 'at peace', says Inter Miami coach",Football,,https://www.thedailystar.net/sports/football/news/messi-peace-says-inter-miami-coach-4251336
Bayern's Musiala suffers second on-field collapse in three days,Football,,https://www.thedailystar.net/sports/football/news/bayerns-musiala-suffers-second-field-collapse-three-days-4251251
Premier League chief says Infantino hit 'self-destruct' with World Cup plan,Football,,https://www.thedailystar.net/sports/football/news/premier-league-chief-says-infantino-hit-self-destruct-world-cup-plan-4251166
Bezos consortium bought nearly 40 percent of Liverpool: report,Football,,https://www.thedailystar.net/sports/football/news/bezos-consortium-bought-nearly-40-percent-liverpool-report-4251141
Rodri joins LaLiga champions Barcelona from Manchester City,Football,,https://www.thedailystar.net/sports/football/news/rodri-joins-la-liga-champions-barcelona-manchester-city-4251096
Racist abuse spurred Suzuki as Japan goalkeeper set for Premier League,Football,,https://www.thedailystar.net/sports/football/news/racist-abuse-spurred-suzuki-japan-goalkeeper-set-premier-league-4250931
Mohammedan appoint Argentine-Spanish coach,Football,,https://www.thedailystar.net/sports/football/news/mohammedan-appoint-argentine-spanish-coach-4250821
Simeone to bench Alvarez in Atletico's LaLiga opener amid transfer standoff,Football,,https://www.thedailystar.net/sports/football/news/simeone-bench-alvarez-atleticos-laliga-opener-amid-transfer-standoff-4250781
Bangladesh forward suspended for 15 matches over Maldives fight,Football,,https://www.thedailystar.net/sports/football/news/bangladesh-forward-suspended-15-matches-over-maldives-fight-4250651
Rift deepens as Asia football chief hits back at Qatar in Infantino saga,Football,,https://www.thedailystar.net/sports/football/news/rift-deepens-asia-football-chief-hits-back-qatar-infantino-saga-4250591
"Liverpool's new-look defence will take time to gel, says Van Dijk",Football,,https://www.thedailystar.net/sports/football/news/liverpools-new-look-defence-will-take-time-gel-says-van-dijk-4250491
"Abahani finally free of FIFA ban, season back on track",Football,,https://www.thedailystar.net/sports/football/news/abahani-finally-free-fifa-ban-season-back-track-4250471
Ritu Porna's Ayeyawady make winning AFC debut,Football,,https://www.thedailystar.net/sports/football/news/ritu-pornas-ayeyawady-make-winning-afc-debut-4250456
Infantino critic Lamour's warning comes true as he leaves FIFA's third-highest post,Football,,https://www.thedailystar.net/sports/football/news/infantino-critic-lamours-warning-comes-true-he-leaves-fifas-third-highest-post-4250431
Rodri arrives at Barcelona to complete 'dream' move,Football,,https://www.thedailystar.net/sports/football/news/rodri-arrives-barcelona-complete-dream-move-4250426
Swiatek rolls past Rybakina for WTA Toronto title,Tennis,,https://www.thedailystar.net/sports/more-sports/tennis/news/swiatek-rolls-past-rybakina-wta-toronto-title-4247591
No-stress Sabalenka won't fret over lackluster 2026 results,Tennis,No-stress Sabalenka won't fret over lackluster 2026 results,https://www.thedailystar.net/sports/more-sports/tennis/news/no-stress-sabalenka-wont-fret-over-lackluster-2026-results-4246651
